feature,importance
glucose_roc_15min,10.33430430691468
glucose_roc_30min,10.27327725800606
glucose_roc_5min,10.239840705180587
glucose_mean_1h,10.050541790968133
is_hypoglycemic,7.367199786929574
is_hyperglycemic,7.323596023766164
trend_encoded,7.300348612384738
is_dawn_window,7.285207439699199
is_weekend,7.266188056933531
is_night,7.240959845509626
hour_sin,7.22313173529934
is_dinner_time,7.21954825929085
day_of_week,7.200050913936521
is_in_range,7.160056338030168
hour_cos,7.092817603359692
iob_rapid,7.061171391338289
dow_cos,6.250870068090076
is_breakfast_time,6.213516581241356
dow_sin,6.194109088235767
is_lunch_time,5.983673069101904
glucose_min_1h,3.7745579963183298
glucose_max_1h,3.7516039067434988
glucose_std_1h,3.740464894965821
glucose_mean_2h,3.6654167106467965
glucose_cv_1h,2.4592987414996252
glucose_cv_2h,2.4442766368463196
glucose_std_2h,2.437143339859768
glucose_range_1h,2.3938761621328286
hyper_events_1h,0.5039950874114247
hour,0.5008878571375734
hypo_events_1h,0.4995948202814817
minute,0.4908987467898327
time_since_exercise,0.28613964840742623
exercise_minutes_2h,0.2845110725127555
exercise_intensity,0.28357703417717023
cob,0.25192391615235976
recent_bolus_1h,0.2375330283299182
recent_bolus_2h,0.23617700622882257
iob_total,0.2354032427329906
recent_carbs_2h,0.20144938999652887
time_since_last_meal,0.20049292429236312
recent_carbs_1h,0.1995504028101773
is_exercising,0.1969039379919408
