feature,mean_abs_attribution,mean_signed_attribution,sd_attribution,share_pct
roc_5min,7.1899247,-0.45901334,9.2350855,14.808114
minutes_since_bolus,2.734856,-0.8240926,3.2756548,5.632612
glucose_mean_1h,2.43277,1.0830349,2.973403,5.0104465
glucose_appearance_mgdl_per_min,2.2947323,0.5943517,2.9431734,4.726149
roc_15min,2.2436504,-0.3651825,2.9409413,4.620943
basal_u_per_min,2.105286,0.8080747,2.759204,4.3359723
insulin_action_per_min,2.0117216,-1.0614327,2.2506697,4.1432705
glucose_max_1h,1.9692801,-1.1342776,2.1707506,4.055859
glucose_std_1h,1.882617,0.22850077,2.535979,3.877371
is_night,1.7887989,-0.16599678,2.2666566,3.684147
roc_30min,1.566435,-0.23705663,2.3455253,3.2261736
carbs_gut_g,1.545167,0.4191986,1.8963109,3.182371
insulin_sc_1_u,1.4536843,1.0972556,1.3353887,2.9939568
iob_u,1.4388485,0.54081374,1.673798,2.9634013
cob_g,1.3828497,-0.085105024,2.1459198,2.8480682
glucose_mg_dl,1.3531495,0.42618644,1.8570409,2.7868989
carbs_stomach_g,1.2754933,-0.37479877,1.7799873,2.6269605
glucose_mean_2h,1.224887,0.38994995,1.6522195,2.5227337
minutes_since_meal,1.164396,-0.300173,1.7469559,2.3981488
insulin_plasma_uU_mL,1.162541,-0.38813183,1.3615518,2.394328
hour_cos,1.119088,0.5781766,1.3615991,2.304834
basis_heart_rate,1.0807894,-0.8674331,0.8595049,2.2259555
basis_gsr,1.0381768,0.52421254,2.8399167,2.138192
hour_sin,1.0143998,0.2446567,1.4535217,2.0892217
glucose_min_1h,0.8557255,0.19717453,1.1223001,1.762422
basis_heart_rate_available,0.68114597,0.026247608,0.9853852,1.402864
basis_skin_temperature,0.6024805,0.21062742,0.8758014,1.2408473
working,0.58885926,0.39370838,0.54552424,1.2127936
insulin_sc_2_u,0.58129877,0.10359234,0.8438704,1.1972222
bolus_u_per_min,0.554618,0.14793569,1.2073644,1.1422715
exercise_intensity,0.19715697,0.1906324,0.16628921,0.40605748
glucose_interpolated,0.01912622,0.018232921,0.013476307,0.03939168
sleeping,0.0,0.0,0.0,0.0
basis_gsr_available,0.0,0.0,0.0,0.0
basis_skin_temperature_available,0.0,0.0,0.0,0.0
