minutes_before_forecast,roc_5min,minutes_since_bolus,glucose_mean_1h,glucose_appearance_mgdl_per_min,roc_15min,basal_u_per_min,insulin_action_per_min,glucose_max_1h
-115,0.15821345,0.120846964,0.115743436,0.09187442,0.087085426,0.15389693,0.09555962,0.066392854
-110,0.1257053,0.0883621,0.08997073,0.08709091,0.0621264,0.12735535,0.074793376,0.056147475
-105,0.08788683,0.06289705,0.061545406,0.07776688,0.052386593,0.10415534,0.050765917,0.041463908
-100,0.088105135,0.053292308,0.061775714,0.08090068,0.058696657,0.08890901,0.04041628,0.036278185
-95,0.10450732,0.061283052,0.087857,0.09296136,0.06311209,0.087229066,0.04819422,0.03745402
-90,0.11626125,0.06904879,0.10109195,0.09071187,0.063493185,0.08768801,0.05124785,0.0451829
-85,0.09974853,0.066916056,0.083910435,0.06227887,0.06988523,0.082924396,0.04433629,0.05270276
-80,0.10405619,0.065260775,0.06357149,0.032975394,0.08728125,0.0788261,0.040867053,0.0509257
-75,0.116183735,0.068117045,0.05206139,0.025636772,0.09494852,0.067803495,0.035015017,0.043322597
-70,0.1244074,0.074158385,0.05168964,0.025636375,0.09494927,0.065898396,0.03026659,0.037486132
-65,0.14696483,0.091967046,0.07186323,0.028078465,0.09539267,0.078895085,0.037528206,0.03887645
-60,0.17861289,0.128312,0.12657167,0.041989025,0.09628648,0.115343004,0.06033985,0.050078597
-55,0.20261961,0.1772309,0.21713756,0.06772626,0.11819339,0.15834923,0.09710818,0.059627686
-50,0.18861908,0.18876076,0.27137956,0.080581,0.11659622,0.17370747,0.122289695,0.05541396
-45,0.16013463,0.15248461,0.22446483,0.06200096,0.10029033,0.16645937,0.086729206,0.050158486
-40,0.1318375,0.10131958,0.17154725,0.04685588,0.08717988,0.16822815,0.04196565,0.05252461
-35,0.12258175,0.060648832,0.1541646,0.04903284,0.075808324,0.18009852,0.037592378,0.05900462
-30,0.14759277,0.059432525,0.14420576,0.060409933,0.07726682,0.16306852,0.05154607,0.06548507
-25,0.18696213,0.121626735,0.116292454,0.074640706,0.08733267,0.12653646,0.06773637,0.0698367
-20,0.21829362,0.24499941,0.075158864,0.105396785,0.09885994,0.113475315,0.07480748,0.07988191
-15,0.21659271,0.31760386,0.06588346,0.113751,0.12288699,0.12878852,0.09081569,0.09932747
-10,0.2454076,0.30524367,0.100984454,0.08370411,0.1784523,0.17451118,0.14072749,0.14074723
-5,0.61231863,0.42942795,0.15261418,0.13249959,0.28073922,0.30503216,0.31698802,0.29242167
0,5.872831,1.848199,0.333578,1.1813579,1.7930933,0.9005082,1.3086036,1.3511267
