fold,protocol,held_out_subject,n_train,n_val,n_test,train_subjects,test_subjects,purge_steps
official,official,,96842,17184,26498,12,12,48
loso-540,loso,540,87890,15596,2423,11,1,48
loso-544,loso,544,88854,15766,2365,11,1,48
loso-552,loso,552,90816,16113,1806,11,1,48
loso-559,loso,559,89527,15885,1937,11,1,48
loso-563,loso,563,87415,15513,2420,11,1,48
loso-567,loso,567,90015,15971,1754,11,1,48
loso-570,loso,570,88445,15694,2239,11,1,48
loso-575,loso,575,89580,15895,2113,11,1,48
loso-584,loso,584,88736,15746,1869,11,1,48
loso-588,loso,588,86603,15369,2632,11,1,48
loso-591,loso,591,88759,15750,2579,11,1,48
loso-596,loso,596,88622,15726,2361,11,1,48
