subject_id,cohort,split,n_slots,n_candidates,kept,keep_rate,rejected_input_missing,rejected_low_coverage,rejected_target_missing,rejected_h30,rejected_h60,rejected_h90,rejected_h120
559,2018,train,12082,12035,8662,0.7197,2468,0,905,1285,1285,1285,1286
563,2018,train,13099,13052,11146,0.854,1528,0,378,973,973,973,974
570,2018,train,11612,11565,9935,0.8591,1186,0,444,629,629,629,629
575,2018,train,13104,13057,8599,0.6586,3153,0,1305,1237,1237,1237,1237
588,2018,train,13106,13059,12102,0.9267,741,0,216,465,465,465,465
591,2018,train,12756,12709,9565,0.7526,2639,0,505,1909,1909,1909,1909
540,2020,train,13110,13063,10588,0.8105,1914,0,561,1162,1162,1162,1163
544,2020,train,12672,12625,9454,0.7488,2667,0,504,2049,2049,2049,2049
552,2020,train,11098,11051,7145,0.6465,3098,0,808,2010,2016,2018,2018
567,2020,train,13537,13490,8088,0.5996,4189,0,1213,2678,2678,2678,2678
584,2020,train,13249,13202,9592,0.7266,2543,0,1067,1098,1098,1098,1099
596,2020,train,13630,13583,9726,0.716,3419,0,438,2753,2753,2753,2753
559,2018,test,2877,2830,1937,0.6845,657,0,236,363,363,363,363
563,2018,test,2692,2645,2420,0.9149,185,0,40,122,122,122,122
570,2018,test,2881,2834,2239,0.79,402,0,193,134,134,134,135
575,2018,test,2719,2672,2113,0.7908,379,0,180,129,129,129,129
588,2018,test,2881,2834,2632,0.9287,154,0,48,90,90,90,90
591,2018,test,2848,2801,2579,0.9207,178,0,44,87,87,87,87
540,2020,test,3055,3008,2423,0.8055,408,0,177,170,170,170,171
544,2020,test,3125,3078,2365,0.7684,600,0,113,420,420,420,421
552,2020,test,3939,3892,1806,0.464,1882,0,204,1586,1586,1586,1586
567,2020,test,2860,2813,1754,0.6235,806,0,253,481,481,481,482
584,2020,test,2984,2937,1869,0.6364,760,0,308,328,322,317,318
596,2020,test,2992,2945,2361,0.8017,439,0,145,259,259,259,260
